"species","year","naxes","beta_total","beta_repl","beta_diff","vol_protected","vol_unprotected","disp_protected","disp_unprotected","delta_vol","delta_disp"
"Acanthis flammea","2000s",6,0.196,0.19,0.005,965.738695313294,960.171001477958,0.775108293421457,0.779030906976058,5.56769383533629,-0.00392261355460166
"Acanthis flammea","2006s",7,0.601,0.57,0.031,5.32736563382974,5.56869141784727,0.714243380619357,0.714770646539394,-0.241325784017524,-0.00052726592003749
"Acanthis flammea","2012s",7,0.896,0.869,0.027,1.07278872805222,1.12686914950056,0.766771408390776,0.76946506064484,-0.0540804214483426,-0.00269365225406359
"Acanthis flammea","2018s",7,0.735,0.707,0.029,2.80902161662907,2.68355480471994,0.714485136581986,0.714971094214603,0.125466811909126,-0.000485957632617051
"Anthus pratensis","2000s",6,0.997,0.994,0.003,0.309833527736537,0.308069838434093,0.77204747255101,0.770102542700919,0.00176368930244375,0.00194492985009054
"Anthus pratensis","2006s",7,0.523,0.504,0.019,22.3297602021313,21.7534831799039,0.707685724523908,0.708375765937582,0.576277022227316,-0.000690041413674791
"Anthus pratensis","2012s",7,0.398,0.362,0.036,31.0879190846112,29.7196136735693,0.730449444674099,0.729691201914779,1.36830541104191,0.000758242759319683
"Anthus pratensis","2018s",7,0.41,0.385,0.025,70.9959812069629,68.7895258607284,0.792576394155117,0.7897091910232,2.20645534623456,0.00286720313191791
"Anthus trivialis","2000s",6,0.289,0.257,0.032,109.228078271734,113.378387478192,0.62187750795419,0.607950001673244,-4.1503092064583,0.0139275062809457
"Anthus trivialis","2006s",7,0.41,0.321,0.089,10.7952192510163,12.0677785322209,0.654720869767234,0.659738861394802,-1.27255928120461,-0.00501799162756755
"Anthus trivialis","2012s",7,0.302,0.298,0.004,7.03424174738236,7.0661242383552,0.589115446808914,0.584191883347713,-0.0318824909728352,0.00492356346120115
"Anthus trivialis","2018s",7,0.467,0.466,0.001,5.45856740472096,5.46720767698018,0.569992474527525,0.573897226960478,-0.00864027225921493,-0.00390475243295318
"Cuculus canorus","2000s",6,0.996,0.973,0.023,0.179475990231597,0.171441031314862,0.716955914216887,0.700620563188142,0.00803495891673534,0.0163353510287452
"Cuculus canorus","2006s",7,0.424,0.397,0.027,10.5580072621761,10.9294214589488,0.653238826019533,0.658433959808249,-0.371414196772728,-0.00519513378871594
"Cuculus canorus","2012s",7,0.301,0.288,0.013,11.2320908863553,11.0666067554036,0.60502899910454,0.601608219936757,0.165484130951707,0.00342077916778283
"Cuculus canorus","2018s",7,0.299,0.247,0.052,13.3656702197175,12.5700032495022,0.568720985706014,0.565772943631428,0.795666970215322,0.00294804207458554
"Erithacus rubecula","2000s",6,0.212,0.18,0.032,73.4675876433509,70.8563071126536,0.570948686253284,0.557469088845524,2.61128053069733,0.0134795974077597
"Erithacus rubecula","2006s",7,0.397,0.366,0.031,10.8743053652536,11.3012700870004,0.679902136503538,0.682593849196704,-0.42696472174676,-0.00269171269316626
"Erithacus rubecula","2012s",7,0.584,0.462,0.122,2.25758857067846,1.89962964995018,0.59215668785887,0.586893842236088,0.357958920728279,0.00526284562278234
"Erithacus rubecula","2018s",7,0.497,0.495,0.002,7.39515593881689,7.41435109439621,0.593501073753698,0.604291605055051,-0.0191951555793199,-0.0107905313013535
"Ficedula hypoleuca","2000s",6,0.248,0.19,0.058,333.39071294558,311.853163014778,0.704119616766431,0.687042551831262,21.5375499308019,0.0170770649351691
"Ficedula hypoleuca","2006s",7,0.322,0.262,0.06,35.6068092699093,38.258921014339,0.731249338252699,0.733894477699149,-2.65211174442972,-0.00264513944645017
"Ficedula hypoleuca","2012s",7,0.494,0.466,0.028,2.51729607109821,2.61266411873437,0.543080710839534,0.550319579949118,-0.0953680476361596,-0.00723886910958382
"Ficedula hypoleuca","2018s",7,0.426,0.387,0.039,7.94804887634492,7.56700682602628,0.574308212880794,0.564764099189404,0.381042050318639,0.00954411369139052
"Fringilla coelebs","2000s",6,0.238,0.238,0,123.376226365435,123.428486904766,0.661364911940664,0.669042662032996,-0.0522605393311864,-0.00767775009233207
"Fringilla coelebs","2006s",7,0.362,0.303,0.06,14.3895383226101,13.3785657187074,0.670777483636706,0.664187706474239,1.01097260390276,0.00658977716246767
"Fringilla coelebs","2012s",7,0.567,0.535,0.032,1.9060526560749,1.82235710935389,0.594426182393199,0.592528013575906,0.0836955467210083,0.00189816881729299
"Fringilla coelebs","2018s",7,0.585,0.581,0.004,3.3179171081776,3.33580222015061,0.593786316457291,0.597194684359154,-0.0178851119730163,-0.00340836790186294
"Fringilla montifringilla","2000s",6,0.229,0.223,0.006,451.767541539292,448.862855289872,0.770444350687758,0.768405695706498,2.90468624942025,0.00203865498125944
"Fringilla montifringilla","2006s",6,0.425,0.422,0.003,114.052435631801,113.636350074973,0.679057618885118,0.678103223447408,0.416085556828421,0.000954395437709699
"Fringilla montifringilla","2012s",7,0.711,0.693,0.018,1.8994624314302,1.9531763605747,0.710035164318788,0.712659066928206,-0.0537139291445063,-0.00262390260941747
"Fringilla montifringilla","2018s",7,0.688,0.668,0.02,1.87818553052336,1.93665810468548,0.675831187212909,0.675589318530916,-0.0584725741621146,0.000241868681992718
"Gallinago gallinago","2000s",6,0.216,0.158,0.058,1611.45266599014,1510.02236170347,0.769132339208269,0.765861728847284,101.430304286666,0.00327061036098497
"Gallinago gallinago","2006s",7,0.438,0.413,0.025,26.3641845909595,25.5377169205961,0.702156365519415,0.696514765233536,0.826467670363389,0.00564160028587846
"Gallinago gallinago","2012s",7,0.635,0.607,0.028,7.07460324337146,7.37093267667507,0.728006884965655,0.72598451257852,-0.296329433303604,0.00202237238713499
"Gallinago gallinago","2018s",7,0.428,0.426,0.002,20.8045840951353,20.8510527100824,0.699395621753254,0.70454776859066,-0.0464686149470843,-0.00515214683740628
"Motacilla flava","2000s",6,0.997,0.976,0.021,0.278847458139822,0.267436230803412,0.725627965140585,0.716365371328726,0.0114112273364097,0.00926259381185834
"Motacilla flava","2006s",6,0.172,0.143,0.029,577.184404430976,595.546388759567,0.661132430072355,0.667781851165285,-18.3619843285908,-0.0066494210929291
"Motacilla flava","2012s",7,0.928,0.857,0.072,0.33447300742038,0.382374869350723,0.701792212146881,0.708327713857402,-0.047901861930343,-0.00653550171052175
"Motacilla flava","2018s",7,0.334,0.328,0.006,37.0103068304183,36.7601572632587,0.720099687583221,0.72618910409668,0.250149567159568,-0.00608941651345929
"Muscicapa striata","2000s",6,0.261,0.254,0.006,127.357612205194,128.270865671865,0.666628176676189,0.661023998286987,-0.913253466671051,0.00560417838920202
"Muscicapa striata","2006s",7,0.331,0.329,0.002,24.3914179965456,24.4375250737651,0.68417292445657,0.680191989570514,-0.0461070772194212,0.003980934886056
"Muscicapa striata","2012s",7,0.313,0.259,0.055,12.5022409276137,11.7156771386611,0.612542270798157,0.606758852809879,0.786563788952602,0.00578341798827731
"Muscicapa striata","2018s",7,0.469,0.468,0,4.46801055722509,4.46750433462815,0.580681369807537,0.578111951406821,0.000506222596940553,0.00256941840071578
"Phoenicurus phoenicurus","2000s",6,0.996,0.989,0.007,0.205334175928116,0.208262263274284,0.725382881877328,0.73620979551716,-0.00292808734616776,-0.0108269136398322
"Phoenicurus phoenicurus","2006s",7,0.801,0.801,0,1.16534368433148,1.16615824876467,0.667684001284377,0.663772913298868,-0.000814564433195386,0.00391108798550888
"Phoenicurus phoenicurus","2012s",7,0.536,0.514,0.022,2.39286301153824,2.32205752140599,0.603384955626152,0.595685231392916,0.0708054901322481,0.00769972423323628
"Phoenicurus phoenicurus","2018s",7,0.337,0.314,0.023,6.98832073895817,7.18819045533713,0.585976342752105,0.594583624955179,-0.199869716378961,-0.00860728220307372
"Phylloscopus trochilus","2000s",6,0.242,0.226,0.016,610.593216645511,622.105284119893,0.772121222973953,0.776970374653721,-11.5120674743813,-0.00484915167976807
"Phylloscopus trochilus","2006s",7,0.341,0.322,0.019,27.8243391799374,28.4811572943504,0.722703359379892,0.722245199412461,-0.656818114412957,0.000458159967431038
"Phylloscopus trochilus","2012s",7,0.382,0.247,0.135,15.3405923040521,18.1243756835371,0.712127207142474,0.721725379126323,-2.78378337948505,-0.00959817198384916
"Phylloscopus trochilus","2018s",7,0.265,0.26,0.006,27.2963791159475,27.1201154332384,0.667187784443794,0.66463091955232,0.176263682709088,0.002556864891474
"Pluvialis apricaria","2000s",5,0.077,0.062,0.015,26787.6025554727,27201.7450482336,0.861144736644512,0.858683703022983,-414.142492760926,0.0024610336215295
"Pluvialis apricaria","2006s",6,0.154,0.141,0.013,1331.88862123816,1312.89533906195,0.736674414642009,0.740008330743133,18.9932821762059,-0.00333391610112366
"Pluvialis apricaria","2012s",5,0.248,0.217,0.031,1501.26454121277,1555.79898493705,0.740512319067873,0.752370535806538,-54.5344437242768,-0.0118582167386657
"Pluvialis apricaria","2018s",6,0.583,0.567,0.017,303.481218627164,310.780885828235,0.790456898374943,0.798112184589405,-7.29966720107114,-0.0076552862144621
"Poecile cinctus","2000s",5,0.057,0.057,0,20375.1406182213,20369.8385579567,0.769763817402768,0.773164220663416,5.30206026458472,-0.00340040326064783
"Poecile cinctus","2012s",4,0.044,0.043,0.001,20546.7062011321,20524.6182767529,0.661025727092408,0.652223126594822,22.0879243792442,0.00880260049758563
"Poecile cinctus","2018s",4,0.043,0.038,0.005,58894.2770456211,59217.6585661486,0.798371497867304,0.781925902431176,-323.381520527495,0.0164455954361276
"Poecile montanus","2000s",6,0.351,0.293,0.058,81.1658308497688,87.0465774846016,0.618172835400342,0.633905454087477,-5.88074663483278,-0.0157326186871353
"Poecile montanus","2006s",7,0.422,0.279,0.143,9.04123485059762,10.8364094254019,0.642812692068602,0.659180133700647,-1.79517457480425,-0.0163674416320446
"Poecile montanus","2012s",7,0.707,0.699,0.008,1.83520015121307,1.81210881347592,0.642032041972242,0.639842295910093,0.0230913377371484,0.00218974606214939
"Poecile montanus","2018s",7,0.604,0.561,0.043,2.13350942321893,2.00736148537511,0.550032981968626,0.546365555728715,0.12614793784382,0.00366742623991112
"Pyrrhula pyrrhula","2000s",6,0.201,0.194,0.007,28.4704037228972,28.2510385397548,0.431186180972767,0.432354441037961,0.21936518314245,-0.00116826006519405
"Pyrrhula pyrrhula","2006s",7,0.502,0.467,0.035,1.23840655092685,1.29713349855028,0.592180161223342,0.594987318515305,-0.0587269476234307,-0.0028071572919629
"Pyrrhula pyrrhula","2012s",7,0.418,0.407,0.01,4.88298155611431,4.94760312197672,0.641473218503588,0.637105057178665,-0.0646215658624127,0.00436816132492335
"Pyrrhula pyrrhula","2018s",7,0.416,0.401,0.015,14.0127373043803,13.7465369678723,0.634434260077434,0.634336654898475,0.266200336507975,9.76051789584043e-05
"Schoeniclus schoeniclus","2000s",6,0.202,0.185,0.016,1313.47675614326,1337.4288492825,0.761156936846794,0.765771184210189,-23.9520931392378,-0.004614247363395
"Schoeniclus schoeniclus","2006s",7,0.301,0.268,0.033,92.8110202213979,89.2380999133782,0.711713824335766,0.70842368899042,3.57292030801963,0.0032901353453455
"Schoeniclus schoeniclus","2012s",7,0.435,0.412,0.023,102.683858760175,105.760390404871,0.772045522036497,0.774609268270575,-3.07653164469556,-0.00256374623407829
"Schoeniclus schoeniclus","2018s",7,0.254,0.181,0.074,289.217170460202,265.831539282019,0.766996842776516,0.762177580824762,23.3856311781834,0.00481926195175408
"Spinus spinus","2000s",6,0.225,0.223,0.002,102.081223754266,102.313730212738,0.540921648634153,0.546301989994763,-0.232506458472685,-0.0053803413606095
"Spinus spinus","2006s",7,0.418,0.415,0.003,7.49116845950545,7.52045053427893,0.642309283484384,0.64266419524232,-0.0292820747734757,-0.000354911757935894
"Spinus spinus","2012s",7,0.342,0.248,0.094,4.47276087094058,3.99199004682578,0.555621968049473,0.548235921055919,0.480770824114803,0.00738604699355383
"Spinus spinus","2018s",7,0.303,0.257,0.047,10.6027814875224,10.0346776968483,0.576188227551255,0.570586306613574,0.568103790674099,0.0056019209376813
"Tringa erythropus","2000s",4,0.045,0.042,0.003,107860.969232524,108162.223369461,0.895894969874206,0.897785286735487,-301.254136937176,-0.00189031686128061
"Tringa erythropus","2006s",5,0.069,0.05,0.02,10710.7885708253,10931.0649860301,0.658547237423098,0.653147176325707,-220.276415204813,0.00540006109739111
"Tringa erythropus","2012s",4,0.05,0.049,0.002,48438.4306469893,48361.05977352,0.767983551044861,0.77505323007749,77.3708734692264,-0.00706967903262856
"Tringa erythropus","2018s",5,0.081,0.061,0.02,18687.3600754867,19090.5738137842,0.831553606231576,0.827987537763392,-403.213738297534,0.00356606846818353
"Tringa glareola","2000s",6,0.997,0.993,0.004,0.312191423971821,0.309866812716175,0.728412400766342,0.740575715094316,0.00232461125564548,-0.0121633143279738
"Tringa glareola","2006s",6,0.207,0.164,0.043,450.68738047389,429.367152880404,0.665785176455907,0.666812637642879,21.3202275934861,-0.00102746118697128
"Tringa glareola","2012s",7,0.797,0.789,0.007,1.3429066801498,1.35959313904702,0.699456954261242,0.696561580658293,-0.0166864588972262,0.00289537360294823
"Tringa glareola","2018s",7,0.696,0.667,0.029,3.91137550048242,4.08715691950104,0.72082791600928,0.722416063674152,-0.175781419018622,-0.00158814766487148
"Tringa nebularia","2000s",6,0.301,0.288,0.013,679.658943329023,669.272401685224,0.799759048847589,0.795896197764493,10.3865416437994,0.00386285108309525
"Tringa nebularia","2006s",7,0.999,0.986,0.013,0.00406848119173732,0.00417888100209281,0.663220469189069,0.660154632545983,-0.000110399810355495,0.0030658366430858
