WIlmanNameForPhylo;species;year;naxes;beta_total;beta_repl;beta_diff;vol_protected;vol_unprotected;disp_protected;disp_unprotected;delta_vol;delta_disp;Group;Activity-Nocturnal;BodyMass-Value;Gen_Length;Migr;RL_Status_FI_2019;Habitat_Specializ;DietSpecializ;MainHabitatOriginal;MainHabitat6;MeanLatitude;Order;Family
Carduelis flammea;Acanthis flammea;2000s;7;0,984;0,957;0,027;0,183822157;0,193971922;0,773832622;0,778330359;-0,010149766;-0,004497737;bird;0;13;4,5;S;0;0,955102041;0,8;FO;mixedForest;59,80116264;PASSERIFORMES;Fringillidae
Carduelis flammea;Acanthis flammea;2006s;7;0,694;0,68;0,014;3,21232755;3,280037861;0,761276783;0,768920017;-0,067710311;-0,007643234;bird;0;13;4,5;S;0;0,955102041;0,8;FO;mixedForest;59,80116264;PASSERIFORMES;Fringillidae
Carduelis flammea;Acanthis flammea;2012s;7;0,834;0,786;0,049;2,009593425;1,849014137;0,745939903;0,745552286;0,160579288;0,000387617;bird;0;13;4,5;S;0;0,955102041;0,8;FO;mixedForest;59,80116264;PASSERIFORMES;Fringillidae
Carduelis flammea;Acanthis flammea;2018s;7;0,796;0,741;0,054;1,359345175;1,48810394;0,744034765;0,740988327;-0,128758765;0,003046438;bird;0;13;4,5;S;0;0,955102041;0,8;FO;mixedForest;59,80116264;PASSERIFORMES;Fringillidae
Anthus trivialis;Anthus trivialis;2000s;7;0,772;0,758;0,013;0,890003464;0,909563103;0,724128512;0,72029293;-0,01955964;0,003835582;bird;0;23,33;3,6;L;0;0,957142857;0,777777778;CF;coniferous;56,42094532;PASSERIFORMES;Motacillidae
Anthus trivialis;Anthus trivialis;2006s;7;0,412;0,376;0,036;5,665192909;5,414135215;0,67109515;0,678255885;0,251057694;-0,007160735;bird;0;23,33;3,6;L;0;0,957142857;0,777777778;CF;coniferous;56,42094532;PASSERIFORMES;Motacillidae
Anthus trivialis;Anthus trivialis;2012s;7;0,384;0,279;0,105;4,589844031;5,229203367;0,625781852;0,632169578;-0,639359336;-0,006387727;bird;0;23,33;3,6;L;0;0,957142857;0,777777778;CF;coniferous;56,42094532;PASSERIFORMES;Motacillidae
Anthus trivialis;Anthus trivialis;2018s;7;0,53;0,526;0,004;3,42496458;3,442209013;0,63854622;0,637211722;-0,017244433;0,001334497;bird;0;23,33;3,6;L;0;0,957142857;0,777777778;CF;coniferous;56,42094532;PASSERIFORMES;Motacillidae
Erithacus rubecula;Erithacus rubecula;2000s;6;0,281;0,201;0,079;130,8135039;119,290183;0,673280679;0,664907762;11,52332097;0,008372918;bird;0;17,7;6;S;0;0,857142857;0,644444444;FO;mixedForest;55,64171297;PASSERIFORMES;Muscicapidae
Erithacus rubecula;Erithacus rubecula;2006s;7;0,424;0,419;0,004;4,81095167;4,837021186;0,665831907;0,663085734;-0,026069516;0,002746173;bird;0;17,7;6;S;0;0,857142857;0,644444444;FO;mixedForest;55,64171297;PASSERIFORMES;Muscicapidae
